user_id,user_journey,subscription_type
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
37828,Homepage-Courses-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout,Annual
